Application Number,Title,Abstract,Application Date,Classification,Country Name (Priority),Priority Number,Priority Date,Earliest Priority Date,Application Type (ID)
P1112/2012,GRAVITY ELECTRICAL POWER GENRATOR,,2012-10-22,F03B 11/00,,,,2012-10-22,5
P1144/2012,tila&amp;hila,,2012-10-30,A63B 37/00,,,,2012-10-30,5
P1096/2012,Extracting the cool deep waters from the depths of Gulf of Oman for cooling and desalination in GCC countries and discharging return waters,,2012-10-17,C02F 1/22,,,,2012-10-17,5
P1059/2012,HANDRAIL WORK UNITS OR REMOTE SENSING ( LASER MODULE ) SENDS THE AUDIO SIGNAL HIGH TP ALERT THE MOTHER IN THE CASE OF CHILDRENN CLIMBING FALL PROTECTION.,,2012-10-11,G06K 17/00,,,,2012-10-11,5
P1121/2012,DENTAL MODELS AND METHOD FOR MANUFACTURING DENTAL MODELS,,2012-10-24,A61C 13/34,,,,2012-10-24,5
P1198/2012,X-RAY MACHINE STAND,,2012-11-21,A61B 6/00,,,,2012-11-21,5
P1204/2012,Glove metal dectator,,2012-11-25,G01N 27/90,,,,2012-11-25,5
P1205/2012,The Hook Device,,2012-11-25,A61B 17/00,,,,2012-11-25,5
P1161/2012,Saving the fuel energy,,2012-11-05,F02D 41/26,,,,2012-11-05,5
P1197/2012,MACHINE TO BREAK THE GLASS AND WINDOWS,,2012-11-21,B25D 1/00,,,,2012-11-21,5
P1206/2012,The mattock device,,2012-11-25,B25J 11/00,,,,2012-11-25,5
P1220/2012,MACHINE TO ILLUSTRATE THE IMPACT OF SMOKING ON HUMAN HEALTH,,2012-11-26,G09B 19/00,,,,2012-11-26,5
P1303/2012,Protective gloves,,2012-12-18,B62B 3/14,,,,2012-12-18,5
P1251/2012,Solar cooling system,,2012-12-06,B08B 3/08,,,,2012-12-06,5
P1309/2012,Treatment method to get high purity silica sand.,,2012-12-19,C04B 35/14,,,,2012-12-19,5
P1257/2012,MODULAR MULTIFUNCTIONAL MOTHER-BEAM,,2012-12-09,E04C 3/02,,,,2012-12-09,5
P1243/2012,"System ,Method and Device (Router) for sending and strengthen WiFi and any other wireless network",,2012-12-04,There are no classifications,,,,2012-12-04,5
P1304/2012,Protective gloves,,2012-12-18,A41D 19/00,,,,2012-12-18,5
P75/2013,ELECTRONIC TRANSACTION DOCUMENTATION,,2013-01-23,G06Q 40/00,,,,2013-01-23,5
P151/2013,BUBBLE OF SHIPS MAINTENACE,,2013-02-12,G06Q 50/00,,,,2013-02-12,5
P170/2013,Carbon Hunter,,2013-02-18,"B65G 47/80, F24F 1/02",,,,2013-02-18,5
P370/2013,Boat Air Hunter,,2013-02-04,B63B 7/08,,,,2013-02-04,5
P155/2013,TSOLE FOR SHOE AND PERFECTED DEVICES TO VENTILATE THE FOOT,,2013-02-13,There are no classifications,,,,2013-02-13,5
P124/2013,SYSTEM OF SUPPLY AND DISTRIBUTION OF MINERAL WATER,,2013-02-04,"B01D 35/06, F25B 29/00, F25D 29/00",,,,2013-02-04,5
P231/2013,SMS Controlled Car Functions Device,,2013-03-05,B60R 25/00,,,,2013-03-05,5
P243/2013,MAKANI,,2013-03-10,"G06K 17/00, G08G 1/07, G08G 1/09",,,,2013-03-10,5
P320/2013,NEW MIX DESIGN FOR PAVING STONE FACE MIX (INTERLOCK ) (ENVIRONMENT FRIENDLY),,2013-03-27,E04H 13/00,,,,2013-03-27,5
P286/2013,LUGGAGE WITH A STRUCTURE TO ACCOMMODATE A COMPUTER,,2013-03-19,A45C 5/04,,,,2013-03-19,5
P470/2013,VENKATA RATNAM NEEDLE HOLDER,,2013-04-29,B65D 85/28,,,,2013-04-29,5
P484/2013,PHENYLKETONE CARBOXYLATE COMPOUNDS AND PHARMACEUTICAL USES THEREOF,,2013-05-01,"C07C 59/90, A61K 31/192",,,,2013-05-01,5
P414/2013,REPLACING THE NUCLEAR REACTING CORE BY LASER ONE,,2013-04-16,G21B 1/00,,,,2013-04-16,5
P375/2013,Smart check point,,2013-04-07,G01N 23/04,,,,2013-04-07,5
P409/2013,THE SMART DESK,,2013-04-15,G06K 9/00,,,,2013-04-15,5
P483/2013,COMPOUNDS AND COMPOSITIONS FOR THE TREATMENT OF CANCER,,2013-05-01,A61K 31/45,,,,2013-05-01,5
P437/2013,ALARM LIGHT DEVICE HAVING LAMPS EMBEDDED IN OPENINGS,,2013-04-21,"H01J 5/48, H01J 61/52",,,,2013-04-21,5
P484/2013,PHENYLKETONE CARBOXYLATE COMPOUNDS AND PHARMACEUTICAL USES THEREOF,,2013-05-01,"C07C 59/90, A61K 31/192",,,,2013-05-01,5
P483/2013,COMPOUNDS AND COMPOSITIONS FOR THE TREATMENT OF CANCER,,2013-05-01,A61K 31/45,,,,2013-05-01,5
P557/2013,THE SIJJADAH COUNTING THE RAKA'A,,2013-05-26,There are no classifications,,,,2013-05-26,5
P556/2013,hoses wash and fold,,2013-05-23,There are no classifications,,,,2013-05-23,5
P576/2013,METHOD AND APPARATUS FOR MITIGATING STOROM DAMAGE,,2013-05-28,B63C 1/00,,,,2013-05-28,5
P653/2013,DATES MUZZLE,,2013-06-19,There are no classifications,,,,2013-06-19,5
P719/2013,ENLARGE CLEAN ENERGY,,2013-07-01,There are no classifications,,,,2013-07-01,5
P693/2013,ANTI-FOG ROAD SYSTEMS POWERED BY HOT AIR,,2013-06-26,There are no classifications,,,,2013-06-26,5
P673/2013,MACHINE FOR GENERATING ELECTRICITY FROM PRESSURE OF MOVING CARS AND REPULSION FORSE BETWEEN SIMILAR MAGNET POLES,,2013-06-23,There are no classifications,,,,2013-06-23,5
P761/2013,DYNAMIC ROTATIONAL LOCK,,2013-07-14,There are no classifications,,,,2013-07-14,5
P732/2013,HYDRAULIC TEST DEVICE FOR HEAD LOSS OF STRAINER AND TEST METHOD THEREOF,,2013-07-09,"G01F 1/34, G01M 13/00",,,,2013-07-09,5
P762/2013,ARMORED AUTOMATIC GRENADE LAUNCHER,,2013-07-15,There are no classifications,,,,2013-07-15,5
P726/2013,FLIPPING BOOK PAGES ROBOT BY TOUCH,,2013-07-07,There are no classifications,,,,2013-07-07,5
P763/2013,SMART RECONNAISSANCE AIRCRAFT,,2013-07-15,There are no classifications,,,,2013-07-15,5
P786/2013,KEYBOARD APPARATUS WITH A FONT DISPLAY,,2013-07-17,G06F 3/02,,,,2013-07-17,5
P719/2013,ENLARGE CLEAN ENERGY,,2013-07-01,There are no classifications,,,,2013-07-01,5
P899/2013,Auto self-backup papers,,2013-08-22,There are no classifications,,,,2013-08-22,5
P942/2013,Shamsa Cabinet perfuming,,2013-09-03,There are no classifications,,,,2013-09-03,5
P1154/2013,AUTOMOBILE STEERING WHEEL INCLUDING FLEXIBLE DISPLAYS (SCREEN),,2013-10-28,There are no classifications,,,,2013-10-28,5
P1084/2013,SELF FEEDING POWER SYSTEM TO TURN ON ELECTRICAL,,2013-10-08,There are no classifications,,,,2013-10-08,5
P1257/2013,kHALIFA SLIDE 42,,2013-11-27,There are no classifications,,,,2013-11-27,5
P1196/2013,SYSTEM AND METHOD FOR PROVIDING ASSET MANAGEMENT,,2013-11-11,G06Q 40/02,,,,2013-11-11,5
P1380/2013,Scorpio,,2013-12-23,"F41B 15/00, F41B 15/02",,,,2013-12-23,5
P1340/2013,Seat cover with medical properties designed mainly for Airplane seats accomplished with neck support,,2013-12-16,There are no classifications,,,,2013-12-16,5
P45/2014,INTELLIGENT PORTABLE TRAFFIC LIGHT,,2014-01-15,There are no classifications,,,,2014-01-15,5
P71/2014,Mix Date Paste with date palm seed powder,,2014-01-22,There are no classifications,,,,2014-01-22,5
P47/2014,PARACHUTE,,2014-01-16,There are no classifications,,,,2014-01-16,5
P242/2014,(electrap) red weevil trap through resonating chambers,,2014-03-13,"A01M 1/04, A01M 1/20, A01M 1/02",,,,2014-03-13,5
P200/2014,Smart Comfortable Seatbelt,,2014-03-04,There are no classifications,,,,2014-03-04,5
P582/2014,Smart Mobility Call,,2014-04-06,There are no classifications,,,,2014-04-06,5
P424/2014,CONSTRUCTION OF PIPES,,2014-04-27,There are no classifications,,,,2014-04-27,5
P416/2014,LIVESTOCK TREATMENT METHOD AND APPARATUS,,2014-04-27,There are no classifications,,,,2014-04-27,5
P451/2014,Electronic Educational Content Mapping and learning system and method of ensuring quality teaching and learning effectiveness,,2014-05-01,There are no classifications,,,,2014-05-01,5
P451/2014,Electronic Educational Content Mapping and learning system and method of ensuring quality teaching and learning effectiveness,,2014-05-01,There are no classifications,,,,2014-05-01,5
P502/2014,(Lightning (Barq)) is a device for an early warning for a serious road accidents,,2014-05-14,There are no classifications,,,,2014-05-14,5
P501/2014,The Security Wire ( is a traffic security monitoring device at the same time),,2014-05-14,There are no classifications,,,,2014-05-14,5
P497/2014,Combination used in the work of the food product dates,,2014-05-13,There are no classifications,,,,2014-05-13,5
P620/2014,Shock Absorber Bumper For Recovery Trucks,,2014-06-12,B60R 19/48,,,,2014-06-12,5
P584/2014,"ELECTRIC ARC FURNACE UNPROCESSED SLAG AS A SUPPORT BASE FOR ARTIFICIAL REEF FOR THE CREATION, PROTECTION, ENHANCEMENT OF MARINE FISHERIES IN THE DESIGN AND CONSTRUCTION OF MARINE FISHERIES MODULES AND OTHER ENVIRONMENTAL USES",,2014-06-05,A01K 61/00,,,,2014-06-05,5
P627/2014,AMM (Auto medical machine),,2014-06-12,There are no classifications,,,,2014-06-12,5
P761/2014,AUTOMOTIVE COOLING VISOR,,2014-07-15,There are no classifications,,,,2014-07-15,5
P838/2014,Irrigation Water Saver,,2014-08-06,C02F 3/00,,,,2014-08-06,5
P975/2014,SYSTEM FOR EARLY FIRE DETECTION,,2014-09-15,"G08B 13/194, G08B 17/12",,,,2014-09-15,5
P934/2014,SYSTEM AND METHOD FOR PROCESSING WASTE MATERIAL,,2014-09-03,There are no classifications,,,,2014-09-03,5
P1084/2014,"Slim, Diet, Health plate",,2014-10-08,There are no classifications,,,,2014-10-08,5
P1064/2014,CONSTRUCTION OF PIPES,,2014-10-02,B29C 47/06,,,,2014-10-02,5
P1106/2014,Fire off cars,,2014-10-14,There are no classifications,,,,2014-10-14,5
P1195/2014,SYSTEMS AND METHODS FOR ASSISTING MOSLEM PRAYER RITUALS,,2014-11-04,There are no classifications,,,,2014-11-04,5
P1226/2014,Physio-kinesio,,2014-11-12,There are no classifications,,,,2014-11-12,5
P1234/2014,Hose Folding And Washing Device,,2014-11-13,"E04G 23/00, B08B 1/00",,,,2014-11-13,5
P1458/2014,Fiberglass Disruptor Stand,,2014-12-29,There are no classifications,,,,2014-12-29,5
P1460/2014,Bomb Tec. Vehicle,,2014-12-29,There are no classifications,,,,2014-12-29,5
P1421/2014,CHILD SAFETY SYSTEM IN CAR,,2014-12-24,B60R 21/01,,,,2014-12-24,5
P1326/2014,SMART GRILL,,2014-12-07,There are no classifications,,,,2014-12-07,5
P1457/2014,Magnetic Disruptor Stand,,2014-12-29,There are no classifications,,,,2014-12-29,5
P1459/2014,Flexible EOD Disruptor Stand,,2014-12-29,There are no classifications,,,,2014-12-29,5
P3/2015,Bomb Tec. Suit,,2015-01-04,There are no classifications,,,,2015-01-04,5
P33/2015,Smart Travel Check in Trolley,,2015-01-06,There are no classifications,,,,2015-01-06,5
P144/2015,DUBAI MECHANICAL SURGICAL SET Based on its Main Innovative Element MAKTOUM SURGICAL ARM,,2015-02-01,A61B 19/00,,,,2015-02-01,5
P134/2015,SMART LED BRAKING BOARD,,2015-01-29,There are no classifications,,,,2015-01-29,5
P20/2015,Project Security and Safety of Merchant Ships,,2015-01-05,There are no classifications,,,,2015-01-05,5
P76/2015,OIL TANKER,,2015-01-15,"B63B 11/00, B63B 25/08",,,,2015-01-15,5
P49/2015,4D Inspection,,2015-01-08,There are no classifications,,,,2015-01-08,5
P38/2015,Lateral thrusters systems for aircraft fighter missiles,,2015-01-07,There are no classifications,,,,2015-01-07,5
P198/2015,Easy Q,,2015-02-12,There are no classifications,,,,2015-02-12,5
P216/2015,LIGHT WEIGHT CHOPPED WORN OUT TIRE'S CONCRETE BLOCKS,,2015-02-17,There are no classifications,,,,2015-02-17,5
P157/2015,Patent Air & Oxygen Pumping System to Plants.,,2015-02-04,There are no classifications,,,,2015-02-04,5
P144/2015,DUBAI MECHANICAL SURGICAL SET Based on its Main Innovative Element MAKTOUM SURGICAL ARM,,2015-02-01,A61B 19/00,,,,2015-02-01,5
P238/2015,"Nonintrusive inspection method and system of cargo type objects: vehicles, container trucks, train carriages",,2015-02-22,There are no classifications,,,,2015-02-22,5
P337/2015,Faizkatech,,2015-03-15,There are no classifications,,,,2015-03-15,5
P355/2015,Customs smart inspection table,,2015-03-19,There are no classifications,,,,2015-03-19,5
P429/2015,BIAXIALLY ORIENTED FOLD RETAINABLE POLYESTER FILM & A PROCESS FOR MANUFACTURING THEREOF,,2015-04-02,"B29C 55/12, B29K 67/00",,,,2015-04-02,5
P549/2015,METHOD FOR PROCESSING BAUXITE RESIDUE AND PRODUCTION OF GLASS ROCK MATERIAL,,2015-04-29,C22B 7/04,,,,2015-04-29,5
P534/2015,FILTER ASSEMBLY FOR A FLUID FILTER,,2015-04-27,B01D 46/00,,,,2015-04-27,5
P446/2015,MONOMARAN BOAT'S HULL,,2015-04-07,There are no classifications,,,,2015-04-07,5
P444/2015,SAFE DISTANCE VIOLATION DETECTION SYSTEM BETWEEN VEHICLES,,2015-04-06,There are no classifications,,,,2015-04-06,5
P574/2015,COOL WALL,,2015-05-06,There are no classifications,,,,2015-05-06,5
P752/2015,Dubai M.A. Bag,,2015-05-28,There are no classifications,,,,2015-05-28,5
P601/2015,processing method of radiation-tainted water and sealing processing method of nuclear plant,,2015-05-11,G21F 9/04,,,,2015-05-11,5
P866/2015,HYDROCRACKING PROCESS,,2015-06-29,"C10G 47/12, C10G 65/00",,,,2015-06-29,5
P763/2015,One-WayDatasystem (ODS),,2015-06-04,H04J 1/16,,,,2015-06-04,5
P776/2015,Tea Stick,,2015-06-09,There are no classifications,,,,2015-06-09,5
P810/2015,Odor Suction Toilet Seat,,2015-06-17,E03D 9/04,,,,2015-06-17,5
P877/2015,Transportation device neighborhood,,2015-07-05,There are no classifications,,,,2015-07-05,5
P907/2015,VARIABLE AIR RESISTANT FILTER,,2015-07-13,There are no classifications,,,,2015-07-13,5
P920/2015,Device to detect forged passports and documents,,2015-07-15,There are no classifications,,,,2015-07-15,5
P978/2015,WRISTWATCH OR POCKET WATCH INTENDED TO INDICATE ASTRAL INFORMATION,,2015-08-03,G04B 19/26,,,,2015-08-03,5
P1038/2015,DESIGN SOLUTION FOR CRANK SHAFT WITH INTERMEDIAT LOAD BEARING,,2015-08-18,"F16C 3/08, F16C 9/02, F16C 23/04",,,,2015-08-18,5
P1344/2015,Readymade Tiled Partition walls,,2015-09-30,There are no classifications,,,,2015-09-30,5
P1381/2015,Gravity Driven Generator for Sustainable Movement. (GDGSM),,2015-10-08,There are no classifications,,,,2015-10-08,5
P1407/2015,Armored train horses,,2015-10-14,F41H 7/04,,,,2015-10-14,5
P1380/2015,SLIDING SCREENS STRUCTURE,,2015-10-08,G09F 9/33,,,,2015-10-08,5
P1440/2015,Freedom Flour Mix,,2015-10-22,"A21D 8/02, A23L 1/16, A23L 1/216",,,,2015-10-22,5
P1391/2015,Underwater Vehicle for Cleaning of Marine Fouling from Submersible Surfaces,,2015-10-11,B25J 9/00,,,,2015-10-11,5
P1598/2015,Hurricane forcep new device for tooth extraction,,2015-11-29,A61C 3/00,,,,2015-11-29,5
P1536/2015,Alarm for stealing wires or electrical cables.,,2015-11-17,There are no classifications,,,,2015-11-17,5
P1562/2015,URBANWALL PLASTIC VOID FORMER FOR PERMANENT FORMWORK,,2015-11-22,"E02D 27/32, E04B 5/36",,,,2015-11-22,5
P1667/2015,Way to identify the fingerprints through DNA analysis,,2015-12-14,G06K 9/00,,,,2015-12-14,5
P1744/2015,Intelligent electronic device for detecting and warning about the theft of cables and electrical wiring,,2015-12-29,There are no classifications,,,,2015-12-29,5
P1651/2015,Protection system,,2015-12-10,There are no classifications,,,,2015-12-10,5
P62/2016,Industrial Bumb for electric power generation,,2016-01-21,There are no classifications,,,,2016-01-21,5
P24/2016,An organic solution used to increase fertility in soil,,2016-01-10,"C05D 9/00, C05F 11/00",,,,2016-01-10,5
P85/2016,Self-Interlock Smart System (SISS),,2016-01-25,"H01H 31/00, H02B 13/035",,,,2016-01-25,5
P61/2016,Device and method to save fire victims,,2016-01-21,There are no classifications,,,,2016-01-21,5
P43/2016,Battery charger renewable energy,,2016-01-14,H02J 7/00,,,,2016-01-14,5
P153/2016,A SHORT TANDEM REPEAT (STR) DNA FINGERPRINT METHOD AND KIT,,2016-02-08,There are no classifications,,,,2016-02-08,5
P169/2016,Generating electric energy without using fuel,,2016-02-15,There are no classifications,,,,2016-02-15,5
P241/2016,Advanced formulation for Entomo pathogenic fungus (Beauveria bassiana) as eco friendly bio pesticide,,2016-03-02,There are no classifications,,,,2016-03-02,5
P296/2016,Tripping on Low Voltage Fire (STLF),,2016-03-16,"G01J 5/00, G08B 17/00, F24F 11/00",,,,2016-03-16,5
P260/2016,PREMIX COMPOSITION,,2016-03-08,"A21D 13/00, A21D 10/00",,,,2016-03-08,5
P238/2016,Plant Extract based Bio Repellent for controlling major pests in Date palms,,2016-03-02,There are no classifications,,,,2016-03-02,5
P259/2016,A PROCESS FOR PREPARING A LEGUMINOUS SEED BASED FOOD PRODUCT,,2016-03-08,A23L 3/00,,,,2016-03-08,5
P240/2016,New formulation for Entomo Pathogenic Nematode (Heterohabditis sp) with longer shelf life and higher field efficacy,,2016-03-02,There are no classifications,,,,2016-03-02,5
P239/2016,Insecticidal bait tablet for the control of Red Palm Weevil & Stem borer in Date Palms,,2016-03-02,There are no classifications,,,,2016-03-02,5
P301/2016,OZONE DISINFECTION SOLUTION OF GARBAGE ROOMS AND CHUTES,,2016-03-16,"A61L 11/00, E04F 17/10",,,,2016-03-16,5
P410/2016,Currents Speed Multi-Amplifying Device  CSMA,,2016-04-10,F04B 49/06,,,,2016-04-10,5
P656/2016,Quick Drying Mat System,,2016-05-29,A47L 23/26,,,,2016-05-29,5
P665/2016,ALTERNATIVE FUEL,,2016-05-29,"C10L 5/44, C10L 9/00",,,,2016-05-29,5
P556/2016,War machine ( Thunder ),,2016-05-08,There are no classifications,,,,2016-05-08,5
P557/2016,Guide me device,,2016-05-08,G06F 17/00,,,,2016-05-08,5
P595/2016,changers the pages,,2016-05-16,There are no classifications,,,,2016-05-16,5
P748/2016,TWO WAY EXHAUST,,2016-06-12,There are no classifications,,,,2016-06-12,5
P721/2016,Alkaline and neutral extraction pipes,,2016-06-09,C11B 1/10,,,,2016-06-09,5
P711/2016,Construction composite panels and process of manufacturing thereof,,2016-06-08,There are no classifications,,,,2016-06-08,5
P780/2016,ATM Centre,,2016-06-16,H04Q 3/00,,,,2016-06-16,5
P850/2016,SAJDATY Smart Praying Matt,,2016-06-27,There are no classifications,,,,2016-06-27,5
P6000075/2016,MEASURING DEVICE WITH MAGNETICALLY COUPLED DATA TRANSMITTING AND DATA READING PARTS,,2016-07-28,There are no classifications,,,,2016-07-28,5
P874/2016,SMART TROLLY,,2016-07-19,There are no classifications,,,,2016-07-19,5
P6000103/2016,Baby Bath Changing Table,,2016-08-09,A47B 7/00,,,,2016-08-09,5
P1040/2016,Inspection by CCTV CAR,,2016-09-29,There are no classifications,United States of America,"61/902,576",2013-11-11,2013-11-11,5
P6000172/2016,EXTERNAL MONITORING SYSTEM TO RECOGNISE IF THE DRIVER AND THE PASSENGER FASTENED THE CAR SEAT BELT OR NOT,,2016-09-02,There are no classifications,,,,2016-09-02,5
P1440/2016,The Support Walker,,2016-09-19,There are no classifications,,,,2016-09-19,5
P1141/2016,Plastic Roll Cutting AND REWINDING Machine,,2016-11-01,B65H 35/02,,,,2016-11-01,5
P1207/2016,An automation process for border control via a 2-door smart gate (one door with two acting behaviors) without the interference of an immigration officer,,2016-11-27,There are no classifications,,,,2016-11-27,5
P6000272/2016,A device that converts kinetic energy into electrical energy,,2016-11-06,There are no classifications,,,,2016-11-06,5
P6000288/2016,Data exchange cable tester,,2016-11-09,There are no classifications,,,,2016-11-09,5
P1174/2016,Glove photosynthesis,,2016-11-17,There are no classifications,,,,2016-11-17,5
P1215/2016,suction organfor smoking narghilah and method for mounting its components,,2016-11-27,A24F 1/00,,,,2016-11-27,5
P1141/2016,Plastic Roll Cutting AND REWINDING Machine,,2016-11-01,B65H 35/02,,,,2016-11-01,5
P1154/2016,Self-lighting advertising flag and self-lighting flag,,2016-11-07,G09F 13/22,,,,2016-11-07,5
P1175/2016,Abomb bottle,,2016-11-17,There are no classifications,,,,2016-11-17,5
P1172/2016,YOU SERVIES,,2016-11-15,There are no classifications,,,,2016-11-15,5
P1295/2016,UNIFIED MOBILE-BASED ADVERTISING SYSTEM AND METHOD,,2016-12-20,G06Q 30/00,,,,2016-12-20,5
P1243/2016,SHAMSA PERFUMING AND STERILIZATION UNITE,,2016-12-07,There are no classifications,,,,2016-12-07,5
P1322/2016,Bomb conector cuter,,2016-12-28,B23C 5/00,,,,2016-12-28,5
P6000375/2016,SHACKLE WITH CAPTURED PIN ASSEMBLY,,2016-12-21,F16G 15/00,,,,2016-12-21,5
P6000079/2017,Smart gloves,,2017-01-31,There are no classifications,,,,2017-01-31,5
P6000063/2017,Intelligent Helmet and Solar Box,,2017-01-25,A42B 3/00,,,,2017-01-25,5
P8/2017,SMART DRILL GUIDE DEVICE FOR MUSCLE TRAINING OF HAND DRILLING OPERATIONS,,2017-01-05,There are no classifications,,,,2017-01-05,5
P40/2017,"A device to generate and provide electrical power, hydrogen and oxygen with purity 99.% and storing electrical power from saline sea water or any water source.",,2017-01-24,There are no classifications,,,,2017-01-24,5
P12/2017,INTELLIGENT SHOWER SYSTEM,,2017-01-10,A47K 3/28,,,,2017-01-10,5
P6000024/2017,"SAFETY HELMET AND VEHICLE SYSTEM, CIRCUIT AND DEVICE",,2017-01-12,B60R 25/24,,,,2017-01-12,5
P5/2017,A DEVICE FOR PERFORMING MULTIPLE OPTICAL OPERATIONS IN COMMUNICATION NETWORK,,2017-01-05,H04B 10/40,,,,2017-01-05,5
P6/2017,PRINTED CIRCUIT BOARD STRUCTURE AND METHOD OF MANUFACTURING USING WIDEBAND MICROSTRIP LINES,,2017-01-05,H01L 23/36,,,,2017-01-05,5
P7/2017,LOAD TESTING SYSTEM AND DEVICE FOR SUSTAIN LOAD MEASUREMENT OVER TIME IN DIFFERENT ENVIRONMENTAL CONDITIONS,,2017-01-05,G01L 1/00,,,,2017-01-05,5
P6000041/2017,CONVERTIBLE BED AND TRANSPORT ASSEMBLY,,2017-01-15,"A61G 5/00, A61G 7/00",,,,2017-01-15,5
P6000064/2017,Intelligent Warning Tape and Intelligent column,,2017-01-25,There are no classifications,,,,2017-01-25,5
P6000050/2017,WATER ENERGIZER DEVICE,,2017-01-16,C09K 5/00,,,,2017-01-16,5
P6000166/2017,INSPECTION VEHICLE,,2017-02-16,B63B 59/00,,,,2017-02-16,5
P6000336/2017,"Fully integrated automation process for border control through a two-door smart gate that operates as one-door gate, ensuring the same security for safe crossing usually provided by a two door gate against infiltration.",,2017-03-26,G07C 9/00,,,,2017-03-26,5
P6000375/2017,System and Method for Measuring Atmospheric Attenuation,,2017-04-03,G01N 21/53,,,,2017-04-03,5
P6000424/2017,TENT,,2017-04-13,There are no classifications,,,,2017-04-13,5
P6000758/2017,Composition for hair germination and reducing hair loss,,2017-05-11,A61K 8/92,,,,2017-05-11,5
P6000540/2017,Safety Bin,,2017-05-10,There are no classifications,,,,2017-05-10,5
P6000532/2017,block without cement,,2017-05-09,There are no classifications,,,,2017-05-09,5
P6000505/2017,Smarticks,,2017-05-02,G04G 9/00,,,,2017-05-02,5
P6000527/2017,Smart Parking With Eco-Cooling System Using Solar Panel,,2017-05-08,There are no classifications,United Arab Emirates,,,2017-05-08,5
P6000571/2017,"AN ELECTRONIC GATE FOR CAMEL RACING, INTENDED TO BE ARRANGED IN A RACE TRAK",,2017-05-14,A63B 24/00,,,,2017-05-14,5
P6000542/2017,BUILDING CONNECTION ARRANGEMENT,,2017-05-10,E04B 1/38,,,,2017-05-10,5
P6000544/2017,BUILDING COMPONENT,,2017-05-10,E04C 3/09,,,,2017-05-10,5
P0000055/2017,Bomb disposal drone,,2017-05-07,There are no classifications,,,,2017-05-07,5
P6000776/2017,A method for artificially creating clouds/rainfall,,2017-06-15,F25B 25/00,,,,2017-06-15,5
P6000880/2017,STEM EDU BOX,,2017-07-16,A01G 9/00,,,,2017-07-16,5
P6000934/2017,Outdoor information kiosk,,2017-07-26,There are no classifications,,,,2017-07-26,5
P6000924/2017,Self-extinguishing of the vehicle Tools used in the vehicle,,2017-07-25,A62C 3/07,,,,2017-07-25,5
P6000949/2017,Efficiency enhancing apparatus and methods for a heat exchange system,,2017-07-30,There are no classifications,,,,2017-07-30,5
P6001149/2017,Mobil Barcode Reader,,2017-09-11,There are no classifications,,,,2017-09-11,5
P6001124/2017,A CONCRETE WASTEWATER PROCESSING DEVICE,,2017-09-05,C02F 1/44,,,,2017-09-05,5
P6001234/2017,Road and transport authority parking services,,2017-09-27,G08G 1/00,,,,2017-09-27,5
P6001391/2017,Solar thermal decomposition plant for hydrocarbons and bio,,2017-10-29,There are no classifications,,,,2017-10-29,5
P6001343/2017,A notification system and method,,2017-10-18,There are no classifications,,,,2017-10-18,5
P6001526/2017,Smart Detection System,,2017-11-28,"B64F 1/36, G01V 5/00",,,,2017-11-28,5
P6001456/2017,Renewable Energy (i.e Solar) Virtual and Smart Services Market App,,2017-11-14,There are no classifications,,,,2017-11-14,5
P6001396/2017,SEAMLESS TITANIUM CLADDING SYSTEM,,2017-11-01,B32B 15/00,,,,2017-11-01,5
P6001596/2017,Mobile Cinema Project,,2017-12-09,B60R 11/02,,,,2017-12-09,5
P6001650/2017,Electrical Switch Endurence Test System (ESETS),,2017-12-17,H01R 31/06,,,,2017-12-17,5
P6000113/2018,Smart Management for Sustainable Excavation Outputs,,2018-01-17,G06Q 10/00,,,,2018-01-17,5
P6000108/2018,Innovtive Jacket,,2018-01-15,There are no classifications,,,,2018-01-15,5
P6000126/2018,corrosion inhibitor to protect steel in concrete construction and durable rehabilitation,,2018-01-18,There are no classifications,,,,2018-01-18,5
P6000092/2018,INTELLIGENT WITNESSES TO BE USED IN FORENSIC DNA TEST,,2018-01-10,There are no classifications,,,,2018-01-10,5
P6000104/2018,Innovative Wrist,,2018-01-15,A44C 5/00,,,,2018-01-15,5
P6000125/2018,ENVIRONMENTALLY-FRIENDLY CORROSION INHIBITOR AND MICROBIOLOGICAL CONTROL FOR COOLING WATER SYSTEMS,,2018-01-18,There are no classifications,,,,2018-01-18,5
P6000116/2018,Innovative Helmet,,2018-01-18,There are no classifications,,,,2018-01-18,5
P6000103/2018,Innovative Helmet,,2018-01-15,A42B 3/32,,,,2018-01-15,5
P6000183/2018,Hole Cleaning Technology (HCT),,2018-01-30,There are no classifications,,,,2018-01-30,5
P6000145/2018,The Bat Radar,,2018-01-24,There are no classifications,,,,2018-01-24,5
P6000140/2018,Articulated Sign Language Translation Glove System,,2018-01-24,There are no classifications,,,,2018-01-24,5
P6000127/2018,CORROSION TESTING device,,2018-01-18,There are no classifications,,,,2018-01-18,5
P6000112/2018,Innovative Gloves,,2018-01-16,There are no classifications,,,,2018-01-16,5
P6000096/2018,Moveable front camera,,2018-01-11,H04N 5/247,,,,2018-01-11,5
P6000263/2018,Soiling Detection Apparatus and Method,,2018-02-19,"H02S 40/10, H02S 50/00",,,,2018-02-19,5
P6000274/2018,Ferrule Replacement,,2018-02-21,"F16L 41/06, F16L 55/179",,,,2018-02-21,5
